"Bitmex - API name","Name","Contract","Symbol","Classification"
"XBTUSD","BTC/USD","Perpetual","BTC/USD - Perpetual","Pair"
"ETHUSD","ETH/USD","Perpetual","ETH/USD - Perpetual","Pair"
"XBTN19","BTC/USD","Jul19","BTC/USD - Jul19","Pair"
"XBTQ19","BTC/USD","Aug19","BTC/USD - Aug19","Pair"
"XBTU19","BTC/USD","Sep19","BTC/USD - Sep19","Pair"
"XBTV19","BTC/USD","Oct19","BTC/USD - Oct19","Pair"
"XBTX19","BTC/USD","Nov19","BTC/USD - Nov19","Pair"
"XBTZ19","BTC/USD","Dec19","BTC/USD - Dec19","Pair"
"XBTF20","BTC/USD","Jan20","BTC/USD - Jan20","Pair"
"XBTG20","BTC/USD","Feb20","BTC/USD - Feb20","Pair"
"XBTH20","BTC/USD","Mar20","BTC/USD - Mar20","Pair"
"XBTJ20","BTC/USD","Apr20","BTC/USD - Apr20","Pair"
"XBTK20","BTC/USD","May20","BTC/USD - May20","Pair"
"XBTM20","BTC/USD","Jun20","BTC/USD - Jun20","Pair"
"XBTN20","BTC/USD","Jul20","BTC/USD - Jul20","Pair"
"XBTQ20","BTC/USD","Aug20","BTC/USD - Aug20","Pair"
"XBTU20","BTC/USD","Sep20","BTC/USD - Sep20","Pair"
"XBTV20","BTC/USD","Oct20","BTC/USD - Oct20","Pair"
"XBTX20","BTC/USD","Nov20","BTC/USD - Nov20","Pair"
"XBTZ20","BTC/USD","Dec20","BTC/USD - Dec20","Pair"
"XBTF21","BTC/USD","Jan21","BTC/USD - Jan21","Pair"
"XBTG21","BTC/USD","Feb21","BTC/USD - Feb21","Pair"
"XBTH21","BTC/USD","Mar21","BTC/USD - Mar21","Pair"
"XBTJ21","BTC/USD","Apr21","BTC/USD - Apr21","Pair"
"XBTK21","BTC/USD","May21","BTC/USD - May21","Pair"
"XBTM21","BTC/USD","Jun21","BTC/USD - Jun21","Pair"
"XBTN21","BTC/USD","Jul21","BTC/USD - Jul21","Pair"
"XBTQ21","BTC/USD","Aug21","BTC/USD - Aug21","Pair"
"XBTU21","BTC/USD","Sep21","BTC/USD - Sep21","Pair"
