Deribit API symbol,Name,Contract,Symbol - Nomisma,Classification
BTC-Perpetual,BTC/USD,Perpetual,BTC/USD - Perpetual,Pair
BTC-26Jul19,BTC/USD,Jul19,BTC/USD - Jul19,Pair
BTC-30Aug19,BTC/USD,Aug19,BTC/USD - Aug19,Pair
BTC-27Sep19,BTC/USD,Sep19,BTC/USD - Sep19,Pair
BTC-25Oct19,BTC/USD,Oct19,BTC/USD - Oct19,Pair
BTC-29Nov19,BTC/USD,Nov19,BTC/USD - Nov19,Pair
BTC-27Dec19,BTC/USD,Dec19,BTC/USD - Dec19,Pair
BTC-31Jan20,BTC/USD,Jan20,BTC/USD - Jan20,Pair
BTC-28Feb20,BTC/USD,Feb20,BTC/USD - Feb20,Pair
BTC-27Mar20,BTC/USD,Mar20,BTC/USD - Mar20,Pair
BTC-24Apr20,BTC/USD,Apr20,BTC/USD - Apr20,Pair
BTC-29May20,BTC/USD,May20,BTC/USD - May20,Pair
BTC-26Jun20,BTC/USD,Jun20,BTC/USD - Jun20,Pair
BTC-31Jul20,BTC/USD,Jul20,BTC/USD - Jul20,Pair
BTC-28Aug20,BTC/USD,Aug20,BTC/USD - Aug20,Pair
BTC-25Sep20,BTC/USD,Sep20,BTC/USD - Sep20,Pair
BTC-30Oct20,BTC/USD,Oct20,BTC/USD - Oct20,Pair
BTC-27Nov20,BTC/USD,Nov20,BTC/USD - Nov20,Pair
BTC-25Dec20,BTC/USD,Dec20,BTC/USD - Dec20,Pair
BTC-29Jan21,BTC/USD,Jan21,BTC/USD - Jan21,Pair
BTC-26Feb21,BTC/USD,Feb21,BTC/USD - Feb21,Pair
BTC-26Mar21,BTC/USD,Mar21,BTC/USD - Mar21,Pair
BTC-30Apr21,BTC/USD,Apr21,BTC/USD - Apr21,Pair
BTC-28May21,BTC/USD,May21,BTC/USD - May21,Pair
BTC-25Jun21,BTC/USD,Jun21,BTC/USD - Jun21,Pair
BTC-30Jul21,BTC/USD,Jul21,BTC/USD - Jul21,Pair
BTC-27Aug21,BTC/USD,Aug21,BTC/USD - Aug21,Pair
BTC-24Sep21,BTC/USD,Sep21,BTC/USD - Sep21,Pair
BTC-29Oct21,BTC/USD,Oct21,BTC/USD - Oct21,Pair
BTC-26Nov21,BTC/USD,Nov21,BTC/USD - Nov21,Pair
BTC-31Dec21,BTC/USD,Dec21,BTC/USD - Dec21,Pair
BTC-28Jan22,BTC/USD,Jan22,BTC/USD - Jan22,Pair
BTC-25Feb22,BTC/USD,Feb22,BTC/USD - Feb22,Pair
BTC-25Mar22,BTC/USD,Mar22,BTC/USD - Mar22,Pair
BTC-29Apr22,BTC/USD,Apr22,BTC/USD - Apr22,Pair
BTC-27May22,BTC/USD,May22,BTC/USD - May22,Pair
BTC-24Jun22,BTC/USD,Jun22,BTC/USD - Jun22,Pair
BTC-29Jul22,BTC/USD,Jul22,BTC/USD - Jul22,Pair
BTC-26Aug22,BTC/USD,Aug22,BTC/USD - Aug22,Pair
BTC-30Sep22,BTC/USD,Sep22,BTC/USD - Sep22,Pair
BTC-28Oct22,BTC/USD,Oct22,BTC/USD - Oct22,Pair
BTC-25Nov22,BTC/USD,Nov22,BTC/USD - Nov22,Pair
BTC-30Dec22,BTC/USD,Dec22,BTC/USD - Dec22,Pair
BTC-27Jan23,BTC/USD,Jan23,BTC/USD - Jan23,Pair
BTC-24Feb23,BTC/USD,Feb23,BTC/USD - Feb23,Pair
BTC-31Mar23,BTC/USD,Mar23,BTC/USD - Mar23,Pair
BTC-28Apr23,BTC/USD,Apr23,BTC/USD - Apr23,Pair
BTC-26May23,BTC/USD,May23,BTC/USD - May23,Pair
BTC-30Jun23,BTC/USD,Jun23,BTC/USD - Jun23,Pair
BTC-28Jul23,BTC/USD,Jul23,BTC/USD - Jul23,Pair
BTC-25Aug23,BTC/USD,Aug23,BTC/USD - Aug23,Pair
BTC-29Sep23,BTC/USD,Sep23,BTC/USD - Sep23,Pair
BTC-27Oct23,BTC/USD,Oct23,BTC/USD - Oct23,Pair
BTC-24Nov23,BTC/USD,Nov23,BTC/USD - Nov23,Pair
BTC-29Dec23,BTC/USD,Dec23,BTC/USD - Dec23,Pair
ETH-Perpetual,ETH/USD,Perpetual,ETH/USD - Perpetual,Pair
ETH-26Jul19,ETH/USD,Jul19,ETH/USD - Jul19,Pair
ETH-30Aug19,ETH/USD,Aug19,ETH/USD - Aug19,Pair
ETH-27Sep19,ETH/USD,Sep19,ETH/USD - Sep19,Pair
ETH-25Oct19,ETH/USD,Oct19,ETH/USD - Oct19,Pair
ETH-29Nov19,ETH/USD,Nov19,ETH/USD - Nov19,Pair
ETH-27Dec19,ETH/USD,Dec19,ETH/USD - Dec19,Pair
ETH-31Jan20,ETH/USD,Jan20,ETH/USD - Jan20,Pair
ETH-28Feb20,ETH/USD,Feb20,ETH/USD - Feb20,Pair
ETH-27Mar20,ETH/USD,Mar20,ETH/USD - Mar20,Pair
ETH-24Apr20,ETH/USD,Apr20,ETH/USD - Apr20,Pair
ETH-29May20,ETH/USD,May20,ETH/USD - May20,Pair
ETH-26Jun20,ETH/USD,Jun20,ETH/USD - Jun20,Pair
ETH-31Jul20,ETH/USD,Jul20,ETH/USD - Jul20,Pair
ETH-28Aug20,ETH/USD,Aug20,ETH/USD - Aug20,Pair
ETH-25Sep20,ETH/USD,Sep20,ETH/USD - Sep20,Pair
ETH-30Oct20,ETH/USD,Oct20,ETH/USD - Oct20,Pair
ETH-27Nov20,ETH/USD,Nov20,ETH/USD - Nov20,Pair
ETH-25Dec20,ETH/USD,Dec20,ETH/USD - Dec20,Pair
ETH-29Jan21,ETH/USD,Jan21,ETH/USD - Jan21,Pair
