Kraken API symbol,Name,Contract,Symbol - Nomisma,Classification
pi_xbtusd,BTC/USD,Perpetual,BTC/USD - Perpetual,Pair
fi_xbtusd_190830,BTC/USD,Aug19,BTC/USD - Aug19,Pair
fi_xbtusd_190927,BTC/USD,Sep19,BTC/USD - Sep19,Pair
fi_xbtusd_191025,BTC/USD,Oct19,BTC/USD - Oct19,Pair
fi_xbtusd_191129,BTC/USD,Nov19,BTC/USD - Nov19,Pair
fi_xbtusd_191227,BTC/USD,Dec19,BTC/USD - Dec19,Pair
fi_xbtusd_200131,BTC/USD,Jan20,BTC/USD - Jan20,Pair
fi_xbtusd_200228,BTC/USD,Feb20,BTC/USD - Feb20,Pair
fi_xbtusd_200327,BTC/USD,Mar20,BTC/USD - Mar20,Pair
fi_xbtusd_200424,BTC/USD,Apr20,BTC/USD - Apr20,Pair
fi_xbtusd_200529,BTC/USD,May20,BTC/USD - May20,Pair
fi_xbtusd_200626,BTC/USD,Jun20,BTC/USD - Jun20,Pair
fi_xbtusd_200731,BTC/USD,Jul20,BTC/USD - Jul20,Pair
fi_xbtusd_200828,BTC/USD,Aug20,BTC/USD - Aug20,Pair
fi_xbtusd_200925,BTC/USD,Sep20,BTC/USD - Sep20,Pair
fi_xbtusd_201030,BTC/USD,Oct20,BTC/USD - Oct20,Pair
fi_xbtusd_201127,BTC/USD,Nov20,BTC/USD - Nov20,Pair
fi_xbtusd_201225,BTC/USD,Dec20,BTC/USD - Dec20,Pair
fi_xbtusd_210129,BTC/USD,Jan21,BTC/USD - Jan21,Pair
fi_xbtusd_210226,BTC/USD,Feb21,BTC/USD - Feb21,Pair
fi_xbtusd_210326,BTC/USD,Mar21,BTC/USD - Mar21,Pair
fi_xbtusd_210430,BTC/USD,Apr21,BTC/USD - Apr21,Pair
fi_xbtusd_210528,BTC/USD,May21,BTC/USD - May21,Pair
fi_xbtusd_210625,BTC/USD,Jun21,BTC/USD - Jun21,Pair
fi_xbtusd_210730,BTC/USD,Jul21,BTC/USD - Jul21,Pair
fi_xbtusd_210827,BTC/USD,Aug21,BTC/USD - Aug21,Pair
fi_xbtusd_210924,BTC/USD,Sep21,BTC/USD - Sep21,Pair
fi_xbtusd_211029,BTC/USD,Oct21,BTC/USD - Oct21,Pair
fi_xbtusd_211126,BTC/USD,Nov21,BTC/USD - Nov21,Pair
fi_xbtusd_211231,BTC/USD,Dec21,BTC/USD - Dec21,Pair
fi_xbtusd_220128,BTC/USD,Jan22,BTC/USD - Jan22,Pair
fi_xbtusd_220225,BTC/USD,Feb22,BTC/USD - Feb22,Pair
fi_xbtusd_220325,BTC/USD,Mar22,BTC/USD - Mar22,Pair
fi_xbtusd_220429,BTC/USD,Apr22,BTC/USD - Apr22,Pair
fi_xbtusd_220527,BTC/USD,May22,BTC/USD - May22,Pair
fi_xbtusd_220624,BTC/USD,Jun22,BTC/USD - Jun22,Pair
fi_xbtusd_220729,BTC/USD,Jul22,BTC/USD - Jul22,Pair
fi_xbtusd_220826,BTC/USD,Aug22,BTC/USD - Aug22,Pair
fi_xbtusd_220930,BTC/USD,Sep22,BTC/USD - Sep22,Pair
fi_xbtusd_221028,BTC/USD,Oct22,BTC/USD - Oct22,Pair
fi_xbtusd_221125,BTC/USD,Nov22,BTC/USD - Nov22,Pair
fi_xbtusd_221230,BTC/USD,Dec22,BTC/USD - Dec22,Pair
fi_xbtusd_230127,BTC/USD,Jan23,BTC/USD - Jan23,Pair
fi_xbtusd_230224,BTC/USD,Feb23,BTC/USD - Feb23,Pair
fi_xbtusd_230331,BTC/USD,Mar23,BTC/USD - Mar23,Pair
fi_xbtusd_230428,BTC/USD,Apr23,BTC/USD - Apr23,Pair
fi_xbtusd_230526,BTC/USD,May23,BTC/USD - May23,Pair
fi_xbtusd_230630,BTC/USD,Jun23,BTC/USD - Jun23,Pair
fi_xbtusd_230728,BTC/USD,Jul23,BTC/USD - Jul23,Pair
fi_xbtusd_230825,BTC/USD,Aug23,BTC/USD - Aug23,Pair
fi_xbtusd_230929,BTC/USD,Sep23,BTC/USD - Sep23,Pair
fi_xbtusd_231027,BTC/USD,Oct23,BTC/USD - Oct23,Pair
fi_xbtusd_231124,BTC/USD,Nov23,BTC/USD - Nov23,Pair
fi_xbtusd_231229,BTC/USD,Dec23,BTC/USD - Dec23,Pair
pi_ethusd,ETH/USD,Perpetual,ETH/USD - Perpetual,Pair
fi_ethusd_190830,ETH/USD,Aug19,ETH/USD - Aug19,Pair
fi_ethusd_190927,ETH/USD,Sep19,ETH/USD - Sep19,Pair
fi_ethusd_191025,ETH/USD,Oct19,ETH/USD - Oct19,Pair
fi_ethusd_191129,ETH/USD,Nov19,ETH/USD - Nov19,Pair
fi_ethusd_191227,ETH/USD,Dec19,ETH/USD - Dec19,Pair
fi_ethusd_200131,ETH/USD,Jan20,ETH/USD - Jan20,Pair
fi_ethusd_200228,ETH/USD,Feb20,ETH/USD - Feb20,Pair
fi_ethusd_200327,ETH/USD,Mar20,ETH/USD - Mar20,Pair
fi_ethusd_200424,ETH/USD,Apr20,ETH/USD - Apr20,Pair
fi_ethusd_200529,ETH/USD,May20,ETH/USD - May20,Pair
fi_ethusd_200626,ETH/USD,Jun20,ETH/USD - Jun20,Pair
fi_ethusd_200731,ETH/USD,Jul20,ETH/USD - Jul20,Pair
fi_ethusd_200828,ETH/USD,Aug20,ETH/USD - Aug20,Pair
fi_ethusd_200925,ETH/USD,Sep20,ETH/USD - Sep20,Pair
fi_ethusd_201030,ETH/USD,Oct20,ETH/USD - Oct20,Pair
fi_ethusd_201127,ETH/USD,Nov20,ETH/USD - Nov20,Pair
fi_ethusd_201225,ETH/USD,Dec20,ETH/USD - Dec20,Pair
fi_ethusd_210129,ETH/USD,Jan21,ETH/USD - Jan21,Pair
fi_ethusd_210226,ETH/USD,Feb21,ETH/USD - Feb21,Pair
fi_ethusd_210326,ETH/USD,Mar21,ETH/USD - Mar21,Pair
fi_ethusd_210430,ETH/USD,Apr21,ETH/USD - Apr21,Pair
fi_ethusd_210528,ETH/USD,May21,ETH/USD - May21,Pair
fi_ethusd_210625,ETH/USD,Jun21,ETH/USD - Jun21,Pair
fi_ethusd_210730,ETH/USD,Jul21,ETH/USD - Jul21,Pair
fi_ethusd_210827,ETH/USD,Aug21,ETH/USD - Aug21,Pair
fi_ethusd_210924,ETH/USD,Sep21,ETH/USD - Sep21,Pair
