Bucket,Expiry Date,USD,BTC,ETH,BCH,XRP,LTC,EOS,BSV,ETC,TRX
Spot,8/27/2019,2.50%,6.00%,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%,8.00%
Aug19,8/30/2019,2.70%,6.50%,9.00%,9.00%,9.00%,9.00%,9.00%,9.00%,9.00%,9.00%
Sep19,9/27/2019,2.90%,7.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%,10.00%
Oct19,10/25/2019,3.10%,7.50%,11.00%,11.00%,11.00%,11.00%,11.00%,11.00%,11.00%,11.00%
Nov19,11/29/2019,3.30%,8.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%,12.00%
Dec19,12/27/2019,3.50%,8.50%,13.00%,13.00%,13.00%,13.00%,13.00%,13.00%,13.00%,13.00%
Jan20,1/31/2020,3.70%,9.00%,14.00%,14.00%,14.00%,14.00%,14.00%,14.00%,14.00%,14.00%
Feb20,2/28/2020,3.90%,9.50%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%
Mar20,3/27/2020,4.10%,10.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%,16.00%
Apr20,4/24/2020,4.30%,10.50%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%,17.00%
May20,5/29/2020,4.50%,11.00%,18.00%,18.00%,18.00%,18.00%,18.00%,18.00%,18.00%,18.00%
Jun20,6/26/2020,4.70%,11.50%,19.00%,19.00%,19.00%,19.00%,19.00%,19.00%,19.00%,19.00%
Jul20,7/31/2020,4.90%,12.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%,20.00%
Aug20,8/28/2020,5.10%,12.50%,21.00%,21.00%,21.00%,21.00%,21.00%,21.00%,21.00%,21.00%
Sep20,9/25/2020,5.30%,13.00%,22.00%,22.00%,22.00%,22.00%,22.00%,22.00%,22.00%,22.00%
Oct20,10/30/2020,5.50%,13.50%,23.00%,23.00%,23.00%,23.00%,23.00%,23.00%,23.00%,23.00%
Nov20,11/27/2020,5.70%,14.00%,24.00%,24.00%,24.00%,24.00%,24.00%,24.00%,24.00%,24.00%
Dec20,12/25/2020,5.90%,14.50%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%,25.00%
Jan21,1/29/2021,6.10%,15.00%,26.00%,26.00%,26.00%,26.00%,26.00%,26.00%,26.00%,26.00%
