"symbol","pair","expiry","nomismaSymbol","classification"
"BTC/USD - Perpetual","BTC/USD","Perpetual","BTC/USD - Perpetual","Pair"
"BTC/USD - 26 Jul 2019","BTC/USD","Jul19","BTC/USD - Jul19","Pair"
"BTC/USD - 30 Aug 2019","BTC/USD","Aug19","BTC/USD - Aug19","Pair"
"BTC/USD - 27 Sep 2019","BTC/USD","Sep19","BTC/USD - Sep19","Pair"
"BTC/USD - 25 Oct 2019","BTC/USD","Oct19","BTC/USD - Oct19","Pair"
"BTC/USD - 29 Nov 2019","BTC/USD","Nov19","BTC/USD - Nov19","Pair"
"BTC/USD - 27 Dec 2019","BTC/USD","Dec19","BTC/USD - Dec19","Pair"
"BTC/USD - 31 Jan 2020","BTC/USD","Jan20","BTC/USD - Jan20","Pair"
"BTC/USD - 28 Feb 2020","BTC/USD","Feb20","BTC/USD - Feb20","Pair"
"BTC/USD - 27 Mar 2020","BTC/USD","Mar20","BTC/USD - Mar20","Pair"
"BTC/USD - 24 Apr 2020","BTC/USD","Apr20","BTC/USD - Apr20","Pair"
"BTC/USD - 29 May 2020","BTC/USD","May20","BTC/USD - May20","Pair"
"BTC/USD - 26 Jun 2020","BTC/USD","Jun20","BTC/USD - Jun20","Pair"
"BTC/USD - 31 Jul 2020","BTC/USD","Jul20","BTC/USD - Jul20","Pair"
"BTC/USD - 28 Aug 2020","BTC/USD","Aug20","BTC/USD - Aug20","Pair"
"BTC/USD - 25 Sep 2020","BTC/USD","Sep20","BTC/USD - Sep20","Pair"
"BTC/USD - 30 Oct 2020","BTC/USD","Oct20","BTC/USD - Oct20","Pair"
"BTC/USD - 27 Nov 2020","BTC/USD","Nov20","BTC/USD - Nov20","Pair"
"BTC/USD - 25 Dec 2020","BTC/USD","Dec20","BTC/USD - Dec20","Pair"
"BTC/USD - 29 Jan 2021","BTC/USD","Jan21","BTC/USD - Jan21","Pair"
"BTC/USD - 26 Feb 2021","BTC/USD","Feb21","BTC/USD - Feb21","Pair"
"BTC/USD - 26 Mar 2021","BTC/USD","Mar21","BTC/USD - Mar21","Pair"
"BTC/USD - 30 Apr 2021","BTC/USD","Apr21","BTC/USD - Apr21","Pair"
"BTC/USD - 28 May 2021","BTC/USD","May21","BTC/USD - May21","Pair"
"BTC/USD - 25 Jun 2021","BTC/USD","Jun21","BTC/USD - Jun21","Pair"
"BTC/USD - 30 Jul 2021","BTC/USD","Jul21","BTC/USD - Jul21","Pair"
"BTC/USD - 27 Aug 2021","BTC/USD","Aug21","BTC/USD - Aug21","Pair"
"BTC/USD - 24 Sep 2021","BTC/USD","Sep21","BTC/USD - Sep21","Pair"
"BTC/USD - 29 Oct 2021","BTC/USD","Oct21","BTC/USD - Oct21","Pair"
"BTC/USD - 26 Nov 2021","BTC/USD","Nov21","BTC/USD - Nov21","Pair"
"BTC/USD - 31 Dec 2021","BTC/USD","Dec21","BTC/USD - Dec21","Pair"
"BTC/USD - 28 Jan 2022","BTC/USD","Jan22","BTC/USD - Jan22","Pair"
"BTC/USD - 25 Feb 2022","BTC/USD","Feb22","BTC/USD - Feb22","Pair"
"BTC/USD - 25 Mar 2022","BTC/USD","Mar22","BTC/USD - Mar22","Pair"
"BTC/USD - 29 Apr 2022","BTC/USD","Apr22","BTC/USD - Apr22","Pair"
"BTC/USD - 27 May 2022","BTC/USD","May22","BTC/USD - May22","Pair"
"BTC/USD - 24 Jun 2022","BTC/USD","Jun22","BTC/USD - Jun22","Pair"
"BTC/USD - 29 Jul 2022","BTC/USD","Jul22","BTC/USD - Jul22","Pair"
"BTC/USD - 26 Aug 2022","BTC/USD","Aug22","BTC/USD - Aug22","Pair"
"BTC/USD - 30 Sep 2022","BTC/USD","Sep22","BTC/USD - Sep22","Pair"
"BTC/USD - 28 Oct 2022","BTC/USD","Oct22","BTC/USD - Oct22","Pair"
"BTC/USD - 25 Nov 2022","BTC/USD","Nov22","BTC/USD - Nov22","Pair"
"BTC/USD - 30 Dec 2022","BTC/USD","Dec22","BTC/USD - Dec22","Pair"
"BTC/USD - 27 Jan 2023","BTC/USD","Jan23","BTC/USD - Jan23","Pair"
"BTC/USD - 24 Feb 2023","BTC/USD","Feb23","BTC/USD - Feb23","Pair"
"BTC/USD - 31 Mar 2023","BTC/USD","Mar23","BTC/USD - Mar23","Pair"
"BTC/USD - 28 Apr 2023","BTC/USD","Apr23","BTC/USD - Apr23","Pair"
"BTC/USD - 26 May 2023","BTC/USD","May23","BTC/USD - May23","Pair"
"BTC/USD - 30 Jun 2023","BTC/USD","Jun23","BTC/USD - Jun23","Pair"
"BTC/USD - 28 Jul 2023","BTC/USD","Jul23","BTC/USD - Jul23","Pair"
"BTC/USD - 25 Aug 2023","BTC/USD","Aug23","BTC/USD - Aug23","Pair"
"BTC/USD - 29 Sep 2023","BTC/USD","Sep23","BTC/USD - Sep23","Pair"
"BTC/USD - 27 Oct 2023","BTC/USD","Oct23","BTC/USD - Oct23","Pair"
"BTC/USD - 24 Nov 2023","BTC/USD","Nov23","BTC/USD - Nov23","Pair"
"BTC/USD - 29 Dec 2023","BTC/USD","Dec23","BTC/USD - Dec23","Pair"
"ETH/USD - Perpetual","ETH/USD","Perpetual","ETH/USD - Perpetual","Pair"
"ETH/USD - 26 Jul 2019","ETH/USD","Jul19","ETH/USD - Jul19","Pair"
"ETH/USD - 30 Aug 2019","ETH/USD","Aug19","ETH/USD - Aug19","Pair"
"ETH/USD - 27 Sep 2019","ETH/USD","Sep19","ETH/USD - Sep19","Pair"
"ETH/USD - 25 Oct 2019","ETH/USD","Oct19","ETH/USD - Oct19","Pair"
"ETH/USD - 29 Nov 2019","ETH/USD","Nov19","ETH/USD - Nov19","Pair"
