"symbol","pair","expiry","nomismaSymbol","classification"
"Bitcoin","BTC/USD","Perpetual","BTC/USD - Perpetual","Pair"
"Ether","ETH/USD","Perpetual","ETH/USD - Perpetual","Pair"
"Litecoin","LTC/USD","Perpetual","LTC/USD - Perpetual","Pair"
"EOS","EOS/USD","Perpetual","EOS/USD - Perpetual","Pair"
"Stellar","XLM/USD","Perpetual","XLM/USD - Perpetual","Pair"
"Bitcoin Cash","BCH/USD","Perpetual","BCH/USD - Perpetual","Pair"
"Ripple","XRP/USD","Perpetual","XRP/USD - Perpetual","Pair"
"NEO","NEO/USD","Perpetual","NEO/USD - Perpetual","Pair"
"Bitcoin Cash/Bitcoin","BCH/BTC","Perpetual","BCH/BTC - Perpetual","Pair"
"Crypto 10 Index","IG Index Crypto 10","Perpetual","IG Index Crypto 10 - Perpetual","Index"
"Ether/Bitcoin","ETH/BTC","Perpetual","ETH/BTC - Perpetual","Pair"
