"symbol","pair","expiry","nomismaSymbol","classification"
"BTC Swap","BTC/USD","Perpetual","BTC/USD - Perpetual","Pair"
"BTC0830","BTC/USD","Aug19","BTC/USD - Aug19","Pair"
"BTC0927","BTC/USD","Sep19","BTC/USD - Sep19","Pair"
"BTC1025","BTC/USD","Oct19","BTC/USD - Oct19","Pair"
"BTC1129","BTC/USD","Nov19","BTC/USD - Nov19","Pair"
"BTC1227","BTC/USD","Dec19","BTC/USD - Dec19","Pair"
"BTC0131","BTC/USD","Jan20","BTC/USD - Jan20","Pair"
"BTC0228","BTC/USD","Feb20","BTC/USD - Feb20","Pair"
"BTC0327","BTC/USD","Mar20","BTC/USD - Mar20","Pair"
"BTC0424","BTC/USD","Apr20","BTC/USD - Apr20","Pair"
"BTC0529","BTC/USD","May20","BTC/USD - May20","Pair"
"BTC0626","BTC/USD","Jun20","BTC/USD - Jun20","Pair"
"BTC0731","BTC/USD","Jul20","BTC/USD - Jul20","Pair"
"BTC0828","BTC/USD","Aug20","BTC/USD - Aug20","Pair"
"BTC0925","BTC/USD","Sep20","BTC/USD - Sep20","Pair"
"BTC1030","BTC/USD","Oct20","BTC/USD - Oct20","Pair"
"BTC1127","BTC/USD","Nov20","BTC/USD - Nov20","Pair"
"BTC1225","BTC/USD","Dec20","BTC/USD - Dec20","Pair"
"BTC0129","BTC/USD","Jan21","BTC/USD - Jan21","Pair"
"BTC0226","BTC/USD","Feb21","BTC/USD - Feb21","Pair"
"BTC0326","BTC/USD","Mar21","BTC/USD - Mar21","Pair"
"BTC0430","BTC/USD","Apr21","BTC/USD - Apr21","Pair"
"BTC0528","BTC/USD","May21","BTC/USD - May21","Pair"
"BTC0625","BTC/USD","Jun21","BTC/USD - Jun21","Pair"
"BTC0730","BTC/USD","Jul21","BTC/USD - Jul21","Pair"
"BTC0827","BTC/USD","Aug21","BTC/USD - Aug21","Pair"
"BTC0924","BTC/USD","Sep21","BTC/USD - Sep21","Pair"
"BTC1029","BTC/USD","Oct21","BTC/USD - Oct21","Pair"
"BTC1126","BTC/USD","Nov21","BTC/USD - Nov21","Pair"
"BTC1231","BTC/USD","Dec21","BTC/USD - Dec21","Pair"
"BTC0128","BTC/USD","Jan22","BTC/USD - Jan22","Pair"
"BTC0225","BTC/USD","Feb22","BTC/USD - Feb22","Pair"
"BTC0325","BTC/USD","Mar22","BTC/USD - Mar22","Pair"
"BTC0429","BTC/USD","Apr22","BTC/USD - Apr22","Pair"
"BTC0527","BTC/USD","May22","BTC/USD - May22","Pair"
"BTC0624","BTC/USD","Jun22","BTC/USD - Jun22","Pair"
"BTC0729","BTC/USD","Jul22","BTC/USD - Jul22","Pair"
"BTC0826","BTC/USD","Aug22","BTC/USD - Aug22","Pair"
"BTC0930","BTC/USD","Sep22","BTC/USD - Sep22","Pair"
"BTC1028","BTC/USD","Oct22","BTC/USD - Oct22","Pair"
"BTC1125","BTC/USD","Nov22","BTC/USD - Nov22","Pair"
"BTC1230","BTC/USD","Dec22","BTC/USD - Dec22","Pair"
"BTC0127","BTC/USD","Jan23","BTC/USD - Jan23","Pair"
"BTC0224","BTC/USD","Feb23","BTC/USD - Feb23","Pair"
"BTC0331","BTC/USD","Mar23","BTC/USD - Mar23","Pair"
"BTC0428","BTC/USD","Apr23","BTC/USD - Apr23","Pair"
"BTC0526","BTC/USD","May23","BTC/USD - May23","Pair"
"BTC0630","BTC/USD","Jun23","BTC/USD - Jun23","Pair"
